Tree ID,Location Latitude,Location Longitude,Tree Type,Age,Gender,Fruiting,Disease,Last Updated,Planted,Row Number,Planted By,Location Elevation,Daily Check
0c1194f4-df24-46ae-8218-65d7614360ef,17.7127202,121.4424473,Ranunculaceae,85,Genderqueer,true,false,06/09/2021,04/05/2009,1,Feodora Neumann,43.9676803,16:54
e8d32f63-6e88-4e5d-961f-b356640a3477,16.85836,43.19781,Arthoniaceae,18,Male,true,true,02/12/2020,29/12/1981,2,Zak Cowgill,30.134451,
be4db5e5-d4f8-416e-89e5-33b2d16344bd,32.809026,110.112629,Liliaceae,6,Female,true,false,22/03/2021,19/01/1942,3,Theresina Pinshon,51.2329872,14:35
913ce225-62e5-4ada-9e72-f02c939927ad,-7.2635525,106.8234505,Crocyniaceae,47,Genderfluid,true,false,18/10/2021,31/01/1973,4,Lyon Van Der Walt,51.221186,18:42
8c08f1fd-66b9-44b6-90e8-06473054d608,53.3983079,20.9461113,Fabaceae,32,Male,true,true,,,5,Deck Bonevant,,12:32
e4ded351-9a31-4731-abcf-ec0c7f2a6e0e,34.7390267,118.4065758,Fabaceae,100,Male,true,false,15/01/2022,02/06/1923,6,Lezley Cumberlidge,15.5997074,9:37
918a2072-eff3-4c79-ba57-b042d680ea87,44.5394324,3.5333133,Poaceae,55,Male,false,true,21/04/2020,08/04/1950,7,Dunstan Sallowaye,9.0039801,23:50
d8bd456e-76f8-4f0e-891b-cb41686b8c93,45.6408779,20.4256633,Iridaceae,11,Female,true,false,03/10/2021,28/07/2022,8,Amye Gwinn,14.4693883,16:45
dbc0c9be-0539-4722-b9b0-14dd3f805f88,54.6041651,24.0304672,Oxalidaceae,75,Male,false,true,08/05/2020,07/09/1975,9,Mattie Lujan,-12.8272291,22:54
bf7a0e6c-7e25-49b5-a93c-de948902036e,52.145887,25.5329454,Liliaceae,64,Male,true,true,14/04/2020,31/07/2008,10,Lin Fairfoul,49.2272998,12:05
3554e652-2f06-4d98-8730-e4ca3ba535f5,-10.8531643,-37.1269791,Asteraceae,40,Male,true,false,08/12/2019,21/08/1988,11,Ruttger Lankham,15.847683,15:53
2b971887-cbf6-4efa-a16b-e6132243c827,-28.4267829,-52.2182111,Asteraceae,28,Female,false,false,05/01/2021,19/11/1986,12,Rana D'Arrigo,33.92692,8:11
f527a3f8-22a7-4573-8a5e-5ac9b1c0283e,38.577099,106.186518,Chenopodiaceae,30,Female,false,true,04/10/2022,20/09/1982,13,Opal McCaghan,50.0884409,0:45
ac724b0c-4201-4022-bec0-06b058e68e87,45.4331407,-76.3609305,Asteraceae,92,Female,true,false,05/03/2022,06/06/2000,14,Kayla Nuccitelli,56.3419,6:56
57ba6da1-4f12-412b-b452-c621ab522e33,31.642397,118.184993,Fabaceae,50,Male,true,false,28/01/2022,03/07/1973,15,Jeff Varrow,26.230385,14:35
9497182f-91b3-4a12-9860-66186624707d,-23.119901,-134.9702654,Asteraceae,47,Female,false,false,11/03/2021,18/11/1950,16,Keeley Dunseath,-8.2190944,8:05
ee8b38ff-4ab7-41e2-acf4-d25b88937e85,44.3538674,2.9200826,Oleaceae,81,Female,true,true,01/02/2020,08/03/2008,17,Terrie Fidelus,26.6523865,7:59
3dbd6616-6304-4bc4-ae4e-471036606492,14.5602233,-88.9389921,Fabaceae,22,Female,true,true,,,18,Dido MacElane,,18:54
4a25a642-eb24-4ed1-90cc-7e4e28ba05f1,59.2648646,15.2289108,Poaceae,96,Bigender,false,true,27/05/2020,22/06/1960,19,Ally Byars,25.5497,7:18
25bb3010-309e-4b6d-83c8-74cff38c1e02,53.7776927,15.8278204,Piperaceae,18,Male,true,true,20/01/2021,05/01/1966,20,Reed Vahey,53.1286984,0:17
81bf2bd6-e3e6-4fb6-8515-e896839f1964,25.904305,112.203287,Asteraceae,20,Female,false,false,30/11/2019,18/02/1951,21,Zea Scrivinor,39.109563,15:32
41668b26-7813-4b09-b21b-f11fed3d7137,33.08038,104.64117,Rubiaceae,94,Female,true,false,16/09/2022,11/04/1926,22,Polly Bohman,-7.6478966,16:50
5d2c61b9-7e62-49f8-a136-166fc1a2b54c,29.574103,106.537605,Euphorbiaceae,4,Male,true,true,15/04/2021,22/08/1943,23,Frazer Cansdale,57.6437016,10:48
88c5f3d5-06d1-416d-960e-d2dccb8f3280,7.9903188,5.1249662,Blechnaceae,1,Male,true,true,30/01/2021,09/07/1941,24,Chevy Docherty,31.623728,
21162eb8-f000-443a-ba9d-8cedac763e77,14.5586303,121.047062,Ericaceae,65,Male,false,true,17/03/2021,29/10/2012,25,Samuele Keble,40.058197,0:41
fdf110cf-2678-4e32-90bd-5c5df33ff6de,45.5155832,-122.6788535,Lythraceae,21,Male,true,true,30/06/2021,03/03/1926,26,Ben Matysik,22.521523,23:12
a83063d7-d5d1-4fea-933a-352a4ce4c902,-7.8169756,111.9790773,Graphidaceae,12,Female,true,true,19/08/2022,17/06/1957,27,Grete Rozzier,12.3640592,22:10
ad95dce4-7262-4024-9a0a-7b6ce665fa91,-11.388934,43.390991,Violaceae,2,Female,true,false,30/11/2021,01/11/1978,28,Doralia Manueau,-11.403372,7:30
fedc61dd-b629-4036-90be-2e329a77950f,42.0876245,-8.2745719,Fabaceae,8,Female,true,false,31/05/2021,07/12/1962,29,Maryjane Kitching,24.057648,11:01
d6206c4c-b14e-4c4b-bd4a-84a6dd099b4c,37.817552,-25.66905,Rosaceae,99,Female,false,true,08/12/2021,14/04/1971,30,Stella Wrangle,24.4752847,12:22
a7fbaa54-6f66-48de-b9db-fbb068bed5b2,27.402484,33.6511438,Sapotaceae,32,Male,true,true,23/01/2021,04/09/2010,31,Ham Rutland,49.0422777,8:01
8b4f3d15-4d41-4848-ad83-a5daf98bce8c,24.347324,102.527197,Hydrophyllaceae,51,Genderfluid,false,false,25/11/2019,06/08/1923,32,Edi Honig,61.6833669,7:34
aa31e6e0-8b31-49bf-9ef0-19b6c742ec17,-13.9468358,-39.6724573,Asteraceae,79,Female,false,false,09/08/2021,19/02/1970,33,Roxanna Gamage,32.19061,4:21
b4868460-bd2c-4bfc-80bd-e9ce6fbcbb1f,31.975951,35.853029,Salicaceae,61,Male,true,false,24/06/2021,13/09/1964,34,Sheffield Fairlem,-2.5123017,8:10
97c6eea3-0f79-47e7-a95a-14bd88ca08c8,37.114157,79.922211,Scrophulariaceae,2,Female,false,true,16/07/2020,23/09/1994,35,Tiffanie Gunney,40.3606136,13:31
68798ff7-b3c7-4f9e-997a-fdf06d1fae42,-0.8183228,12.7250036,Rosaceae,4,Female,true,false,08/02/2022,21/06/1978,36,Janette Hutchison,-8.5068536,
888fa0ed-f02c-49ff-a2ca-22e63df83146,43.61,-116.2,Caryophyllaceae,49,Male,true,false,27/07/2020,14/01/2011,37,Gino Thornthwaite,14.5514305,21:12
78e84768-e90d-4ad3-b438-9a8c6ccdcc80,27.42839,85.03219,Amaranthaceae,86,Female,true,true,28/10/2021,23/03/1977,38,Ruthy Bluett,31.135176,20:10
478b4cab-6a28-4591-ac62-49cb86576d03,2.9362417,101.6991728,Opegraphaceae,29,Male,false,false,27/11/2020,27/07/1987,39,Sloan McGougan,-13.3970988,22:51
18ddc076-13ab-4b9b-a7ae-9966822e9324,-33.4907417,22.5304693,Caprifoliaceae,95,Female,false,false,28/08/2021,16/12/1990,40,Sadella Popelay,42.887766,18:25
29857640-47e8-4aa9-aa1c-f96de5307a6a,-20.4059505,57.7034222,Myrtaceae,15,Male,false,false,02/03/2021,16/12/1983,41,Felic Benedek,14.6099284,1:32
d5d068ef-98ec-47c7-86ae-99ed870712eb,11.2642678,37.4921444,Gentianaceae,81,Male,true,false,24/07/2020,27/12/1942,42,Freddy Le Marquis,45.207675,14:11
3d09e829-21fb-4850-b07f-a039f1289587,9.3887516,-67.0613528,Solanaceae,100,Male,true,false,15/11/2021,19/12/1950,43,Cad Sonier,48.9475246,3:22
30767f6a-53ff-4af8-bdd4-dc23ce92f825,-14.1462865,-71.4603621,Lamiaceae,78,Female,true,false,20/03/2022,07/06/1943,44,Mariana Bickerdyke,49.2017413,15:52
541fca5f-919a-493b-a379-793a21104d28,49.1980747,-98.102542,Ditrichaceae,44,Male,false,false,04/10/2020,29/09/1953,45,Mikel Bourgeois,43.444912,22:17
21120413-6f01-49c9-870f-a09da6a48ba5,51.5969624,54.1584621,Dioscoreaceae,24,Female,true,false,01/07/2021,09/10/1984,46,Venita Spellissy,59.8863041,
d20926c3-7f95-462a-967e-56392d60706f,37.749246,140.4729678,Asteraceae,90,Female,true,false,22/09/2020,15/09/2017,47,Maisey Caldairou,32.318255,4:52
